sequenceID	lineage	clade
HM488207	1	A
HM488208	1	A
HM488209	1	A
HM488210	1	A
HM488211	1	A
HM488212	1	A
HM488213	1	A
HM488214	1	A
HM488215	1	A
HM488216	1	A
HM488217	1	A
HM488218	1	A
HM488219	1	A
HM488220	1	A
HM488221	1	A
HM488222	1	A
HM488223	1	A
HM488224	1	A
HM488225	1	A
HM488226	1	A
HM488227	1	A
HM488228	1	A
HM488229	1	A
HM488230	1	A
HM488231	1	A
HM488232	1	A
HM488233	1	A
HM488234	1	A
HM488235	1	A
HM488236	1	A
HM488237	1	A
HM488238	1	A
HM488239	1	A
HM488240	1	A
HM488241	1	A
HM488242	1	A
HM488243	1	A
HM488244	1	A
HM488245	1	A
HM488246	1	A
HM488247	1	A
HM488248	1	A
HM488249	1	A
HM488250	1	A
HM488251	1	A
HM488252	1	A
HM488253	1	A
HM488254	1	A
HM538578	1	A
HM538579	1	A
HM538580	1	A
HM538581	1	A
HM538582	1	A
HM538583	1	A
HM538584	1	A
HM641225	1	A
HM641226	1	A
HM641227	1	A
HM641228	1	A
HM641229	1	A
HM641230	1	A
HM756648	1	A
HM756649	1	A
HM756650	1	A
HM756651	1	A
HM756652	1	A
HM756653	1	A
HM756654	1	A
HM756655	1	A
HM756656	1	A
HM756658	1	A
HM756659	1	A
HM756660	1	A
HM756661	1	A
HM756662	1	A
HM756663	1	A
HM756664	1	A
HM756665	1	A
HM756666	1	A
HM756667	1	A
HM756668	1	A
HM756669	1	A
HM756670	1	A
HM756671	1	A
HM756672	1	A
HM756673	1	A
HM756674	1	A
HM756675	1	A
HM756676	1	A
HM756677	1	A
HM756678	1	A
HQ671668	1	A
HQ671669	1	A
HQ671670	1	A
HQ671671	1	A
HQ671672	1	A
HQ671673	1	A
HQ671674	1	A
HQ671675	1	A
HQ671676	1	A
HQ671677	1	A
HQ671678	1	A
HQ671679	1	A
HQ671680	1	A
HQ671681	1	A
HQ671682	1	A
HQ671683	1	A
HQ671684	1	A
HQ671685	1	A
HQ671686	1	A
HQ671687	1	A
HQ671688	1	A
HQ671689	1	A
HQ671690	1	A
HQ671691	1	A
HQ671692	1	A
HQ671693	1	A
HQ671694	1	A
HQ671695	1	A
HQ671696	1	A
HQ671697	1	A
HQ671698	1	A
HQ671699	1	A
HQ671700	1	A
HQ671701	1	A
HQ671702	1	A
HQ671703	1	A
HQ671704	1	A
HQ671705	1	A
HQ671706	1	A
HQ671707	1	A
HQ671708	1	A
HQ671709	1	A
HQ671710	1	A
HQ671711	1	A
HQ671712	1	A
HQ671713	1	A
HQ671714	1	A
HQ671715	1	A
HQ671716	1	A
HQ671717	1	A
HQ671718	1	A
HQ671719	1	A
HQ671720	1	A
HQ671721	1	A
HQ671722	1	A
HQ671723	1	A
HQ671724	1	A
HQ671725	1	A
HQ671726	1	A
HQ671727	1	A
HQ671728	1	A
HQ671729	1	A
HQ671730	1	A
HQ671731	1	A
HQ671732	1	A
HQ671733	1	A
HQ671734	1	A
HQ671735	1	A
HQ671736	1	A
HQ671737	1	A
HQ671738	1	A
HQ671739	1	A
HQ671740	1	A
HQ671741	1	A
HQ671742	1	A
HQ671743	1	A
HQ671744	1	A
HQ671745	1	A
HQ705659	1	A
HQ705660	1	A
HQ705663	1	A
HQ705669	1	A
HQ705670	1	A
HQ705671	1	A
HQ705672	1	A
HQ705673	1	A
HQ705674	1	A
HQ705675	1	A
HQ705676	1	A
HQ705677	1	A
HQ705678	1	A
HQ891009	1	A
HQ891010	1	A
HQ891011	1	A
HQ891012	1	A
HQ891013	1	A
JF357958	1	A
JF357959	1	A
JF357960	1	A
JF488086	1	A
JF488087	1	A
JF488089	1	A
JF488090	1	A
JF488091	1	A
JF488092	1	A
JF488093	1	A
JF488094	1	A
JF488095	1	A
JF488096	1	A
JF488097	1	A
JF707789	1	A
JF719065	1	A
JF719066	1	A
JF719067	1	A
JF719068	1	A
JF730040	1	A
JF730041	1	A
JF730042	1	A
JF730043	1	A
JF784158	1	A
JF899528	1	A
JF899529	1	A
JF899530	1	A
JF899531	1	A
JF899532	1	A
JF899533	1	A
JF899534	1	A
JF899535	1	A
JF899536	1	A
JF899537	1	A
JF920306	1	A
JF920307	1	A
JF920728	1	A
JF920729	1	A
JF920730	1	A
JF920731	1	A
JF920732	1	A
JF920733	1	A
JF920734	1	A
JF920735	1	A
JF920736	1	A
JF920737	1	A
JF920738	1	A
JF920739	1	A
JF920740	1	A
JF920741	1	A
JF920742	1	A
JF920743	1	A
JF920744	1	A
JF920745	1	A
JF920746	1	A
JF920747	1	A
JF920748	1	A
JF920749	1	A
JF920750	1	A
JF920751	1	A
JF920752	1	A
JF920753	1	A
JF920754	1	A
JF920755	1	A
JF920756	1	A
JF920757	1	A
JF920758	1	A
JF920759	1	A
JF920760	1	A
JF972636	1	A
JN051152	1	A
JN051153	1	A
JN183885	1	A
JN183886	1	A
JN183887	1	A
JN183888	1	A
JN183889	1	A
JN183890	1	A
JN183891	1	A
JN183892	1	A
JN183893	1	A
JN183894	1	A
JN183895	1	A
JN183896	1	A
JN183897	1	A
JN367277	1	A
JN716371	1	A
JN716372	1	A
JN817352	1	A
JN819305	1	A
JN819306	1	A
JN819307	1	A
JN819308	1	A
JN819309	1	A
JN819310	1	A
JN819311	1	A
JN819312	1	A
JN819313	1	A
JN819314	1	A
JN819315	1	A
JN819316	1	A
JN819317	1	A
JN819318	1	A
JN819319	1	A
JN819320	1	A
JN819321	1	A
JN819322	1	A
JN819323	1	A
JN819324	1	A
JN819325	1	A
JN858069	1	A
JQ303102	1	A
JQ928174	1	A
JQ928175	1	A
JX015515	1	A
JX015517	1	A
JX015520	1	A
JX015521	1	A
JX015522	1	A
JX015523	1	A
JX041628	1	A
JX041633	1	A
JX041634	1	A
JX070655	1	A
JX123031	1	B
JX276662	1	B
JX503096	1	A
JX556213	1	A
KC243146	1	A
KC333375	1	A
KC333377	1	A
KC333378	1	A
KC333379	1	A
KC333380	1	A
KC333381	1	A
KC333382	1	A
KC333384	1	A
KC333385	1	A
KC333386	1	A
KC601756	1	A
KC954092	1	A
KF367469	1	A
KF647253	1	A
KF823807	1	A
KJ145799	1	A
KJ145800	1	A
KJ145801	1	A
KJ145802	1	A
KJ145803	1	A
KJ145804	1	A
KJ145805	1	A
KJ145806	1	A
KJ145807	1	A
KJ145808	1	A
KJ145809	1	A
KJ145810	1	A
KJ145811	1	A
KJ145812	1	A
KJ145813	1	A
KJ145814	1	A
KJ145815	1	A
KJ145816	1	A
KJ145817	1	A
KJ145818	1	A
KJ145819	1	A
KJ145820	1	A
KJ145821	1	A
KJ145822	1	A
KJ145823	1	A
KJ145824	1	A
KJ145825	1	A
KJ145826	1	A
KJ145827	1	A
KJ145828	1	A
KJ145829	1	A
KJ145830	1	A
KJ145831	1	A
KJ145832	1	A
KJ145833	1	A
KJ501097	1	A
KJ501102	1	A
KJ501104	1	A
KJ501105	1	A
KJ501106	1	A
KJ501108	1	A
KJ501111	1	A
KJ501112	1	A
KJ501113	1	A
KJ501115	1	A
KJ501117	1	A
KJ501120	1	A
KJ501126	1	A
KJ501128	1	A
KJ501129	1	A
KJ501132	1	A
KJ501136	1	A
KJ501137	1	A
KJ501139	1	A
KJ501141	1	A
KJ501144	1	A
KJ501145	1	A
KJ501146	1	A
KJ501147	1	A
KJ501151	1	A
KJ501152	1	A
KJ501153	1	A
KJ501154	1	A
KJ501155	1	A
KJ501156	1	A
KJ501157	1	A
KJ501158	1	A
KJ501159	1	A
KJ501160	1	A
KJ501161	1	A
KJ501162	1	A
KJ501163	1	A
KJ501164	1	A
KJ501165	1	A
KJ501166	1	A
KJ501167	1	A
KJ501169	1	A
KJ501170	1	A
KJ501171	1	A
KJ501172	1	A
KJ501173	1	A
KJ501174	1	A
KJ501175	1	A
KJ501176	1	A
KJ501177	1	A
KJ501178	1	A
KJ501179	1	A
KJ501180	1	A
KJ501181	1	A
KJ501182	1	A
KJ501183	1	A
KJ501184	1	A
KJ501185	1	A
KJ501187	1	A
KJ501188	1	A
KJ501189	1	A
KJ501190	1	A
KJ501191	1	A
KJ501192	1	A
KJ501193	1	A
KJ501194	1	A
KJ501195	1	A
KJ501196	1	A
KJ501197	1	A
KJ501198	1	A
KJ501199	1	A
KJ501200	1	A
KJ501201	1	A
KJ501202	1	A
KJ501203	1	A
KJ501204	1	A
KJ501205	1	A
KJ501207	1	A
KJ501208	1	A
KJ501209	1	A
KJ501210	1	A
KJ501211	1	A
KJ501212	1	A
KJ501213	1	A
KJ501214	1	A
KJ501215	1	A
KJ501216	1	A
KJ501217	1	A
KJ501218	1	A
KJ501219	1	A
KJ501221	1	A
KJ501223	1	A
KJ501227	1	A
KJ501231	1	A
KJ501232	1	A
KJ501233	1	A
KJ501235	1	A
KJ501236	1	A
KJ501239	1	A
KJ501240	1	A
KJ501241	1	A
KJ501242	1	A
KJ501243	1	A
KJ501245	1	A
KJ501246	1	A
KJ501247	1	A
KJ501248	1	A
KJ501249	1	A
KJ501250	1	A
KJ501252	1	A
KJ501253	1	A
KJ501254	1	A
KJ501255	1	A
KJ501256	1	A
KJ501258	1	A
KJ501259	1	A
KJ501260	1	A
KJ501261	1	A
KJ501262	1	A
KJ501264	1	A
KJ501266	1	A
KJ501267	1	A
KJ501268	1	A
KJ501269	1	A
KJ501270	1	A
KJ501271	1	A
KJ501272	1	A
KJ501273	1	A
KJ501274	1	A
KJ501275	1	A
KJ501276	1	A
KJ501277	1	A
KJ501278	1	A
KJ501280	1	A
KJ501281	1	A
KJ501282	1	A
KJ501283	1	A
KJ501284	1	A
KJ501286	1	A
KJ501287	1	A
KJ501288	1	A
KJ501289	1	A
KJ501292	1	A
KJ501293	1	A
KJ501294	1	A
KJ501295	1	A
KJ501297	1	A
KJ501299	1	A
KJ501301	1	A
KJ501304	1	A
KJ501306	1	A
KJ501307	1	A
KJ501311	1	A
KJ501312	1	A
KJ501316	1	A
KJ501317	1	A
KJ501319	1	A
KJ501321	1	A
KJ501323	1	A
KJ501325	1	A
KJ501326	1	A
KJ501328	1	A
KJ501330	1	A
KJ501331	1	A
KJ501332	1	A
KJ501333	1	A
KJ501334	1	A
KJ501335	1	A
KJ501336	1	A
KJ501337	1	A
KJ501338	1	A
KJ501339	1	A
KJ501340	1	A
KJ501341	1	A
KJ501342	1	A
KJ501345	1	A
KJ501346	1	A
KJ501347	1	A
KJ501348	1	A
KJ501349	1	A
KJ501350	1	A
KJ501351	1	A
KJ501352	1	A
KJ501353	1	A
KJ501354	1	A
KJ501355	1	A
KJ501356	1	A
KJ501357	1	A
KJ501358	1	A
KJ501359	1	A
KJ501360	1	A
KJ501361	1	A
KJ501364	1	A
KJ501365	1	A
KJ501366	1	A
KJ501367	1	A
KJ501368	1	A
KJ501369	1	A
KJ501374	1	A
KJ501375	1	A
KJ501376	1	A
KJ501377	1	A
KJ501378	1	A
KJ501379	1	A
KJ501381	1	A
KJ501382	1	A
KJ501383	1	A
KJ501386	1	A
KJ501387	1	A
KJ501389	1	A
KJ501390	1	A
KJ501391	1	A
KJ501392	1	A
KJ501393	1	A
KJ501394	1	A
KJ501396	1	A
KJ501397	1	A
KJ501398	1	A
KJ501400	1	A
KJ501401	1	A
KJ501402	1	A
KJ501403	1	A
KJ501405	1	A
KJ501407	1	A
KJ501408	1	A
KJ501410	1	A
KJ501411	1	A
KJ501412	1	A
KJ501413	1	A
KJ501414	1	A
KJ501415	1	A
KJ501416	1	A
KJ501417	1	A
KJ501418	1	A
KJ501420	1	A
KJ501421	1	A
KJ501422	1	A
KJ501423	1	A
KJ501424	1	A
KJ501425	1	A
KJ501426	1	A
KJ501427	1	A
KJ501428	1	A
KJ501431	1	A
KJ501432	1	A
KJ501433	1	A
KJ501434	1	A
KJ501435	1	A
KJ501436	1	A
KJ501437	1	A
KJ501441	1	A
KJ501444	1	A
KJ501445	1	A
KJ501446	1	A
KJ501447	1	A
KJ501449	1	A
KJ501450	1	A
KJ501451	1	A
KJ501452	1	A
KJ501453	1	A
KJ501454	1	A
KJ501455	1	A
KJ501457	1	A
KJ501458	1	A
KJ501459	1	A
KJ501461	1	A
KJ501462	1	A
KJ501463	1	A
KJ501464	1	A
KJ501465	1	A
KJ501467	1	A
KJ501469	1	A
KJ501471	1	A
KJ501473	1	A
KJ501476	1	A
KJ501478	1	A
KJ501479	1	A
KJ501482	1	A
KJ501484	1	A
KJ501485	1	A
KJ501487	1	A
KJ501490	1	A
KJ501492	1	A
KJ501493	1	A
KJ501494	1	A
KJ501495	1	A
KJ501497	1	A
KJ501498	1	A
KJ501499	1	A
KJ501500	1	A
KJ501501	1	A
KJ501503	1	A
KJ501504	1	A
KJ501505	1	A
KJ501506	1	A
KJ501507	1	A
KJ501508	1	A
KJ501509	1	A
KJ501512	1	A
KJ501513	1	A
KJ501514	1	A
KJ501515	1	A
KJ501517	1	A
KJ501518	1	A
KJ501519	1	A
KJ501520	1	A
KJ501521	1	A
KJ501522	1	A
KJ501523	1	A
KJ501524	1	A
KJ501526	1	A
KJ501527	1	A
KJ501528	1	A
KJ501530	1	A
KJ501531	1	A
KJ501532	1	A
KJ501533	1	A
KJ501534	1	A
KJ501535	1	A
KJ501536	1	A
KJ501537	1	A
KJ501538	1	A
KJ501539	1	A
KJ599823	1	A
KJ786936	1	A
KR107956	1	A
KR348915	1	A
KR348916	1	A
KR348917	1	A
KR348918	1	A
KR348919	1	A
KR348920	1	A
KR348921	1	A
KR348922	1	A
KR348923	1	A
KR348924	1	A
KR348925	1	A
KR348926	1	A
KR348927	1	A
KR348928	1	A
KR348929	1	A
KR348930	1	A
KR348931	1	A
KR348932	1	A
KR348933	1	A
KR348934	1	A
KR348935	1	A
KR348936	1	A
KR348937	1	A
KR348938	1	A
KR348939	1	A
KR348940	1	A
KR348941	1	A
KR348942	1	A
KR348943	1	A
KR348944	1	A
KR348945	1	A
KR348946	1	A
KR348947	1	A
KR348948	1	A
KR348949	1	A
KR348950	1	A
KR348951	1	A
KR348952	1	A
KR348953	1	A
KR348954	1	A
KR348955	1	A
KR348956	1	A
KR348957	1	A
KR348958	1	A
KR348959	1	A
KR348960	1	A
KR348961	1	A
KR348962	1	A
KR348963	1	A
KR348964	1	A
KR348965	1	A
KR348966	1	A
KR348967	1	A
KR348968	1	A
KR348969	1	A
KR348970	1	A
KR348971	1	A
KR348972	1	A
KR348973	1	A
KR348974	1	A
KR348975	1	A
KR348976	1	A
KR348977	1	A
KR348978	1	A
KR348979	1	A
KR348980	1	A
KR348981	1	A
KR348982	1	A
KR348983	1	A
KR348984	1	A
KR348985	1	A
KR348986	1	A
KR348987	1	A
KR348988	1	A
KR348989	1	A
KR348990	1	A
KR348991	1	A
KR348992	1	A
KR348993	1	A
KR348994	1	A
KR348995	1	A
KR348996	1	A
KR348997	1	A
KR348998	1	A
KR348999	1	A
KR349000	1	A
KR349001	1	A
KR349002	1	A
KR349003	1	A
KR349004	1	A
KR349005	1	A
KR349006	1	A
KR349007	1	A
KR349008	1	A
KR349009	1	A
KR349010	1	A
KR349011	1	A
KR349012	1	A
KR349013	1	A
KR349014	1	A
KR349015	1	A
KR349016	1	A
KR349017	1	A
KR349018	1	A
KR349019	1	A
KR349020	1	A
KR349021	1	A
KR349022	1	A
KR349023	1	A
KR349024	1	A
KR349025	1	A
KR349026	1	A
KT020853	1	A
KT934796	1	B
KT934797	1	B
KT934798	1	B
KT934799	1	B
KT934800	1	B
KT934801	1	B
KT934802	1	B
KT934803	1	B
KT934804	1	B
KU573077	1	A
KU573078	1	A
KU573079	1	A
KU588135	1	A
KU978768	1	A
KX394381	1	B
KX394382	1	B
KX394383	1	B
KX394384	1	B
KX394385	1	B
KX394386	1	B
KX394387	1	B
KX394388	1	B
KX394389	1	B
KX394390	1	B
KX394391	1	B
KX394392	1	B
KX394393	1	B
KX394394	1	B
KX394395	1	B
KX394396	1	B
KX394397	1	B
KX394398	1	B
KX394399	1	B
KX394400	1	B
KX394401	1	B
KX394402	1	B
KX394403	1	B
KX394404	1	B
KX394405	1	B
KX394406	1	B
KX394407	1	B
KX394408	1	B
KX394409	1	B
KX394410	1	B
KX394411	1	B
KX547164	1	A
KX547165	1	A
KX547166	1	A
KX547167	1	A
KX547168	1	A
KX547169	1	A
KX547170	1	A
KX547171	1	A
KX547172	1	A
KX547173	1	A
KX547174	1	A
KX547175	1	A
KX547176	1	A
KX547177	1	A
KX547178	1	A
KX547179	1	A
KX547180	1	A
KX547181	1	A
KX547182	1	A
KX547183	1	A
KX547184	1	A
KX547185	1	A
KX547186	1	A
KX547187	1	A
KX547188	1	A
KX547189	1	A
KX547190	1	A
KX547191	1	A
KX547192	1	A
KX547193	1	A
KX547194	1	A
KX547195	1	A
KX547196	1	A
KX547197	1	A
KX547198	1	A
KX547199	1	A
KX547200	1	A
KX547201	1	A
KX547202	1	A
KX547203	1	A
KX547204	1	A
KX547205	1	A
KX547206	1	A
KX547207	1	A
KX547208	1	A
KX547209	1	A
KX547210	1	A
KX547211	1	A
KX547212	1	A
KX547213	1	A
KX547214	1	A
KX547215	1	A
KX547216	1	A
KX547217	1	A
KX547218	1	A
KX547219	1	A
KX547220	1	A
KX547221	1	A
KX547222	1	A
KX547223	1	A
KX547224	1	A
KX547225	1	A
KX547226	1	A
KX547227	1	A
KX547228	1	A
KX547229	1	A
KX547230	1	A
KX547231	1	A
KX547232	1	A
KX547233	1	A
KX547234	1	A
KX547235	1	A
KX547236	1	A
KX547237	1	A
KX547238	1	A
KX547239	1	A
KX547240	1	A
KX547241	1	A
KX547242	1	A
KX547243	1	A
KX547244	1	A
KX547245	1	A
KX547246	1	A
KX547247	1	A
KX547248	1	A
KX547249	1	A
KX547250	1	A
KX547251	1	A
KX547252	1	A
KX547253	1	A
KX547254	1	A
KX547255	1	A
KX547256	1	A
KX547257	1	A
KX547258	1	A
KX547259	1	A
KX547260	1	A
KX547261	1	A
KX547262	1	A
KX547263	1	A
KX547264	1	A
KX547265	1	A
KX547266	1	A
KX547267	1	A
KX547268	1	A
KX547269	1	A
KX547270	1	A
KX547271	1	A
KX547272	1	A
KX547273	1	A
KX547274	1	A
KX547275	1	A
KX547276	1	A
KX547277	1	A
KX547278	1	A
KX547279	1	A
KX547280	1	A
KX547281	1	A
KX547282	1	A
KX547283	1	A
KX547284	1	A
KX547285	1	A
KX547286	1	A
KX547287	1	A
KX547288	1	A
KX547289	1	A
KX547290	1	A
KX547291	1	A
KX547292	1	A
KX547293	1	A
KX547294	1	A
KX547295	1	A
KX547296	1	A
KX547297	1	A
KX547298	1	A
KX547299	1	A
KX547300	1	A
KX547301	1	A
KX547302	1	A
KX547303	1	A
KX547304	1	A
KX547305	1	A
KX547306	1	A
KX547307	1	A
KX547308	1	A
KX547309	1	A
KX547310	1	A
KX547311	1	A
KX547312	1	A
KX547313	1	A
KX547314	1	A
KX547315	1	A
KX547316	1	A
KX547317	1	A
KX547318	1	A
KX547319	1	A
KX547320	1	A
KX547321	1	A
KX547322	1	A
KX547323	1	A
KX547324	1	A
KX547325	1	A
KX547326	1	A
KX547327	1	A
KX547328	1	A
KX547329	1	A
KX547330	1	A
KX547331	1	A
KX547332	1	A
KX547333	1	A
KX547334	1	A
KX547335	1	A
KX547336	1	A
KX547337	1	A
KX547338	1	A
KX547339	1	A
KX547340	1	A
KX547341	1	A
KX547342	1	A
KX547343	1	A
KX547344	1	A
KX547345	1	A
KX547346	1	A
KX547347	1	A
KX547348	1	A
KX547349	1	A
KX547350	1	A
KX547351	1	A
KX547352	1	A
KX547353	1	A
KX547354	1	A
KX547355	1	A
KX547356	1	A
KX547357	1	A
KX547358	1	A
KX547359	1	A
KX547360	1	A
KX547361	1	A
KX547362	1	A
KX547363	1	A
KX547364	1	A
KX547365	1	A
KX547366	1	A
KX547367	1	A
KX547368	1	A
KX547369	1	A
KX547370	1	A
KX547371	1	A
KX547372	1	A
KX547373	1	A
KX547374	1	A
KX547375	1	A
KX547376	1	A
KX547377	1	A
KX547378	1	A
KX547379	1	A
KX547380	1	A
KX547381	1	A
KX547382	1	A
KX547383	1	A
KX547384	1	A
KX547385	1	A
KX547386	1	A
KX547387	1	A
KX547388	1	A
KX547389	1	A
KX547390	1	A
KX547391	1	A
KX547392	1	A
KX547393	1	A
KX547394	1	A
KX547395	1	A
KX547396	1	A
KX547397	1	A
KX547398	1	A
KX547399	1	A
KX547400	1	A
KX547401	1	A
KX547402	1	A
KX547403	1	A
KX547404	1	A
KX547405	1	A
KX547406	1	A
KX547407	1	A
KX547408	1	A
KX547409	1	A
KX547410	1	A
KX547411	1	A
KX547412	1	A
KX547413	1	A
KX547414	1	A
KX547415	1	A
KX547416	1	A
KX547417	1	A
KX547418	1	A
KX547419	1	A
KX547420	1	A
KX547421	1	A
KX547422	1	A
KX547423	1	A
KX547424	1	A
KX547425	1	A
KX547426	1	A
KX547427	1	A
KX547429	1	A
KX547430	1	A
KX547431	1	A
KX547432	1	A
KX547433	1	A
KX547434	1	A
KX547435	1	A
KX547436	1	A
KX547437	1	A
KX547438	1	A
KX547439	1	A
KX547440	1	A
KX547441	1	A
KX547442	1	A
KX547443	1	A
KX547444	1	A
KX547445	1	A
KX547446	1	A
KX547447	1	A
KX547448	1	A
KX547449	1	A
KX547450	1	A
KX547451	1	A
KX547452	1	A
KX547453	1	A
KX547454	1	A
KX547455	1	A
KX547456	1	A
KX547457	1	A
KX547458	1	A
KX547459	1	A
KX547460	1	A
KX547461	1	A
KX547462	1	A
KX547463	1	A
KX547464	1	A
KX547465	1	A
KX547466	1	A
KX547467	1	A
KX547468	1	A
KX547469	1	A
KX547470	1	A
KX547471	1	A
KX547472	1	A
KX547473	1	A
KX547474	1	A
KX547475	1	A
KX547476	1	A
KX547477	1	A
KX547478	1	A
KX547479	1	A
KX547480	1	A
KX547481	1	A
KX547482	1	A
KX547483	1	A
KX547484	1	A
KX547485	1	A
KX547486	1	A
KX547487	1	A
KX547488	1	A
KX547489	1	A
KX547490	1	A
KX547491	1	A
KX547492	1	A
KX547493	1	A
KX547494	1	A
KX547495	1	A
KX547496	1	A
KX547497	1	A
KX547498	1	A
KX547499	1	A
KX547500	1	A
KX547501	1	A
KX547502	1	A
KX547503	1	A
KX547504	1	A
KX547505	1	A
KX547506	1	A
KX547507	1	A
KX547508	1	A
KX547509	1	A
KX547510	1	A
KX547511	1	A
KX547512	1	A
KX547513	1	A
KX547514	1	A
KX547515	1	A
KX547516	1	A
KX547517	1	A
KX547518	1	A
KX547519	1	A
KX547520	1	A
KX547521	1	A
KX547522	1	A
KX547523	1	A
KX547524	1	A
KX547525	1	A
KX547526	1	A
KX547527	1	A
KX547528	1	A
KX547529	1	A
KX547530	1	A
KX547531	1	A
KX547532	1	A
KX547533	1	A
KX547534	1	A
KX547535	1	A
KX547536	1	A
KX547537	1	A
KX547538	1	A
KX547539	1	A
KX547540	1	A
KX547541	1	A
KX547542	1	A
KX547543	1	A
KX547544	1	A
KX547545	1	A
KX547546	1	A
KX547547	1	A
KX547548	1	A
KX547549	1	A
KX547550	1	A
KX547551	1	A
KX547552	1	A
KX547553	1	A
KX547554	1	A
KX547555	1	A
KX547556	1	A
KX547557	1	A
KX547558	1	A
KX547559	1	A
KX547560	1	A
KX547561	1	A
KX547562	1	A
KX547563	1	A
KX547564	1	A
KX547565	1	A
KX547566	1	A
KX547567	1	A
KX547568	1	A
KX547569	1	A
KX547570	1	A
KX547571	1	A
KX547572	1	A
KX547573	1	A
KX547574	1	A
KX547575	1	A
KX547576	1	A
KX547577	1	A
KX547578	1	A
KX547579	1	A
KX547580	1	A
KX547581	1	A
KX547582	1	A
KX547583	1	A
KX547584	1	A
KX547585	1	A
KX547586	1	A
KX547587	1	A
KX547588	1	A
KX547589	1	A
