sequenceID	lineage	clade
AY184821	1	A
AY185906	1	A
AY185907	1	A
AY185908	1	A
AY185909	1	A
AY185910	1	A
AY185911	1	A
AY185912	1	A
AY185913	1	A
AY185914	1	A
AY187012	1	A
AY187013	1	A
AY187014	1	A
AY187015	1	A
AY319854	1	A
AY319855	1	A
AY321579	1	A
AY321580	1	A
AY369403	1	A
AY369404	1	A
AY369405	1	A
AY369406	1	A
AY369407	1	A
AY369408	1	A
AY369409	1	A
AY369410	1	A
AY369411	1	A
AY369412	1	A
AY369413	1	A
AY369414	1	A
AY369415	1	A
AY369416	1	A
AY369417	1	A
AY369418	1	A
AY369419	1	A
AY369420	1	A
AY369421	1	A
AY369422	1	A
AY369423	1	A
AY369424	1	A
AY369425	1	A
AY369426	1	A
AY369427	1	A
AY369428	1	A
AY369429	1	A
AY369430	1	A
AY369431	1	A
AY369432	1	A
AY369433	1	A
AY369434	1	A
AY369435	1	A
AY369436	1	A
AY369437	1	A
AY369438	1	A
AY369439	1	A
AY369440	1	A
AY369441	1	A
AY369442	1	A
AY369443	1	A
AY369444	1	A
AY369445	1	A
AY369446	1	A
AY369447	1	A
AY369448	1	A
AY369449	1	A
AY369450	1	A
AY369451	1	A
AY369452	1	A
AY369453	1	A
AY369454	1	A
AY371271	1	A
AY426741	1	A
AY428514	1	A
AY428515	1	A
AY428516	1	A
AY428517	1	A
AY428518	1	A
AY428519	1	A
AY428520	1	A
AY428521	1	A
AY428522	1	A
AY428523	1	A
AY428524	1	A
AY428525	1	A
AY428526	1	A
AY428527	1	A
AY428528	1	A
AY428529	1	A
AY428530	1	A
AY428531	1	A
AY590210	1	A
AY590211	1	A
AY590212	1	A
AY590213	1	A
AY590214	1	A
AY590215	1	A
AY590216	1	A
AY590217	1	A
AY590218	1	A
AY590219	1	A
AY590220	1	A
AY590221	1	A
AY590222	1	A
AY590223	1	A
AY590224	1	A
AY590225	1	A
AY590226	1	A
AY590227	1	A
AY590228	1	A
AY590229	1	A
AY590230	1	A
AY590231	1	A
AY590232	1	A
AY590233	1	A
AY590234	1	A
AY590235	1	A
AY590236	1	A
AY590237	1	A
AY590238	1	A
AY590239	1	A
AY590240	1	A
AY590241	1	A
AY590242	1	A
AY590243	1	A
AY590244	1	A
AY590245	1	A
AY590246	1	A
AY590247	1	A
AY590248	1	A
AY590249	1	A
AY639639	5	-
AY639640	5	-
AY639641	5	-
AY639642	5	-
AY639643	5	-
AY839588	2	-
AY839589	2	-
AY839590	-	-
AY944238	1	A
AY944239	1	A
AY944240	5	-
AY944241	5	-
AY944242	5	-
AY944243	5	-
AY944244	5	-
AY944245	5	-
AY944246	5	-
AY944247	5	-
AY963774	1	A
AY963775	1	A
CQ753914	1	A
CQ754935	1	A
CQ867049	1	A
CQ871188	1	A
CQ874690	1	A
CQ874691	1	A
CQ874692	1	A
CS621685	1	A
CS621686	1	A
DM185773	1	A
DM185774	1	A
DM190920	1	A
DM190921	1	A
DQ010338	1	A
DQ010339	1	A
DQ010340	1	A
DQ010341	1	A
DQ010342	1	A
DQ010343	1	A
DQ010344	1	A
DQ010345	1	A
DQ010346	1	A
DQ010347	1	A
DQ010348	1	A
DQ010349	1	A
DQ010350	1	A
DQ010351	1	A
DQ010352	1	A
DQ010353	1	A
DQ010354	1	A
DQ010355	1	A
DQ010356	1	A
DQ010357	1	A
DQ158207	1	A
DQ158208	1	A
DQ158209	1	A
DQ158210	1	A
DQ158211	1	A
DQ158212	1	A
DQ158213	1	A
DQ158214	1	A
DQ158215	1	A
DQ158216	1	A
DQ158217	1	A
DQ158218	1	A
DQ158219	1	A
DQ158220	1	A
DQ158221	1	A
DQ158222	1	A
DQ158223	1	A
DQ158224	1	A
DQ158225	1	A
DQ158226	1	A
DQ158227	1	A
DQ158228	1	A
DQ158229	1	A
DQ158230	1	A
DQ158231	1	A
DQ158232	1	A
DQ158233	1	A
DQ158234	1	A
DQ158235	1	A
DQ158236	1	A
DQ158237	1	A
DQ158238	1	A
DQ158239	1	A
DQ158240	1	A
DQ158241	1	A
DQ158242	1	A
DQ158243	1	A
DQ158244	1	A
DQ158245	1	A
DQ158246	1	A
DQ158247	1	A
DQ158248	1	A
DQ158249	1	A
DQ158250	1	A
DQ646699	1	A
DQ666453	1	A
DQ666454	1	A
DQ666455	1	A
DQ666456	1	A
DQ666457	1	A
DQ666458	1	A
DQ666459	1	A
DQ666460	1	A
DQ666461	1	A
DQ666462	1	A
DQ666463	1	A
DQ666464	1	A
DQ666465	1	A
DQ666466	1	A
DQ666467	1	A
DQ666468	1	A
DQ666469	1	A
DQ666470	1	A
DQ666471	1	A
DQ666472	1	A
DQ666473	1	A
DQ666474	1	A
DQ823111	1	A
DQ823112	1	A
DQ823113	1	A
DQ823114	1	A
DQ823115	1	A
DQ823116	1	A
DQ823117	1	A
DQ823118	1	A
DQ823119	1	A
DQ823120	1	A
DQ823121	1	A
DQ823122	1	A
DQ823123	1	A
DQ823124	1	A
DQ823125	1	A
DQ823126	1	A
DQ823127	1	A
DQ823128	1	A
DQ823129	1	A
DQ823130	1	A
DQ823131	1	A
DQ823132	1	A
DQ823133	1	A
DQ823134	1	A
DQ823135	1	A
DQ823136	1	A
DQ823137	1	A
DQ823138	1	A
DQ823139	1	A
DQ823140	1	A
DQ823141	1	A
DQ823142	1	A
DQ823143	1	A
DQ823144	1	A
DQ823145	1	A
DQ823146	1	A
DQ823147	1	A
DQ823148	1	A
DQ823149	1	A
DQ823150	1	A
DQ869049	1	A
DQ869050	1	A
DQ874402	1	A
DQ874403	1	A
DQ874404	1	A
DQ874405	1	A
DQ874406	1	A
DQ874407	1	A
DQ874408	1	A
DQ874409	1	A
DQ874410	1	A
DQ874411	1	A
DQ874412	1	A
DQ874413	1	A
DQ874414	1	A
DQ874415	1	A
DQ874416	1	A
DQ874417	1	A
DQ874418	1	A
DQ874419	1	A
DQ874420	1	A
DQ874421	1	A
DQ874422	1	A
DQ874423	1	A
DQ874424	1	A
DQ874425	1	A
DQ874426	1	A
DQ874427	1	A
DQ874428	1	A
DQ874429	1	A
DQ874430	1	A
DQ874431	1	A
DQ874432	1	A
DQ874433	1	A
DQ874434	1	A
DQ874435	1	A
DQ874436	1	A
DQ874437	1	A
DQ874438	1	A
DQ874439	1	A
DQ874440	1	A
DQ874441	1	A
DQ874442	1	A
DQ874443	1	A
DQ874444	1	A
DQ874445	1	A
DQ874446	1	A
DQ874447	1	A
DQ874448	1	A
DQ874449	1	A
DQ874450	1	A
DQ874451	1	A
DQ874452	1	A
DQ874453	1	A
DQ874454	1	A
DQ874455	1	A
DQ874456	1	A
DQ874457	1	A
DQ874458	1	A
DQ874459	1	A
DQ874460	1	A
DQ874461	1	A
DQ874462	1	A
DQ874463	1	A
DQ874464	1	A
DQ874465	1	A
DQ874466	1	A
DQ874467	1	A
DQ874468	1	A
DQ874469	1	A
DQ911843	1	A
DQ911844	1	A
DQ911845	1	A
DQ911846	1	A
DQ911847	1	A
DQ911848	1	A
DQ911849	1	A
DQ911850	1	A
DQ911851	1	A
DQ911852	1	A
DQ911853	1	A
DQ911854	1	A
DQ911855	1	A
DQ911856	1	A
DQ911857	1	A
DQ911858	1	A
DQ911859	1	A
DQ911860	1	A
DQ911861	1	A
DQ911862	1	A
DQ911863	1	A
DQ911864	1	A
DQ911865	1	A
DQ911866	1	A
DQ911867	1	A
DQ911868	1	A
DQ911869	1	A
DQ911870	1	A
DQ911871	1	A
DQ911872	1	A
DQ911873	1	A
DQ911874	1	A
DQ911875	1	A
DQ911876	1	A
DQ911877	1	A
DQ911878	1	A
DQ911879	1	A
DQ911880	1	A
DQ911881	1	A
DQ911882	1	A
DQ911883	1	A
DQ911884	1	A
DQ911885	1	A
DQ911886	1	A
DQ911887	1	A
DQ911888	1	A
DQ911889	1	A
DQ911890	1	A
DQ911891	1	A
DQ911892	1	A
DQ911893	1	A
DQ911894	1	A
DQ911895	1	A
DQ911896	1	A
DQ911897	1	A
DQ911898	1	A
DQ911899	1	A
DQ911900	1	A
DQ911901	1	A
DQ911902	1	A
DQ911903	1	A
DQ911904	1	A
DQ911905	1	A
DQ911906	1	A
DQ911907	1	A
DQ911908	1	A
DQ911909	1	A
DQ911910	1	A
DQ911911	1	A
DQ911912	1	A
DQ911913	1	A
DQ911914	1	A
DQ911915	1	A
DQ911916	1	A
DQ911917	1	A
DQ911918	1	A
DQ911919	1	A
DQ911920	1	A
DQ911921	1	A
DQ911922	1	A
DQ911923	1	A
DQ911924	1	A
DQ911925	1	A
DQ911926	1	A
DQ911927	1	A
DQ911928	1	A
DQ911929	1	A
DQ911930	1	A
DQ911931	1	A
DQ911932	1	A
DQ911933	1	A
DQ911934	1	A
DQ911935	1	A
DQ911936	1	A
DQ911937	1	A
DQ911938	1	A
DQ911939	1	A
DQ911940	1	A
DQ911941	1	A
DQ911942	1	A
DQ911943	1	A
DQ911944	1	A
DQ911945	1	A
DQ911946	1	A
DQ911947	1	A
DQ911948	1	A
DQ911949	1	A
DQ911950	1	A
DQ911951	1	A
DQ911952	1	A
DQ911953	1	A
DQ911954	1	A
DQ911955	1	A
DQ911956	1	A
DQ911957	1	A
DQ911958	1	A
DQ911959	1	A
DQ911960	1	A
DQ911961	1	A
DQ911962	1	A
DQ911963	1	A
DQ911964	1	A
DQ911965	1	A
DQ911966	1	A
DQ911967	1	A
DQ911968	1	A
DQ911969	1	A
DQ911970	1	A
DQ911971	1	A
DQ911972	1	A
DQ911973	1	A
DQ911974	1	A
DQ911975	1	A
DQ911976	1	A
DQ911977	1	A
DQ911978	1	A
DQ911979	1	A
DQ911980	1	A
DQ911981	1	A
DQ911982	1	A
DQ911983	1	A
DQ911984	1	A
DQ911985	1	A
DQ911986	1	A
DQ911987	1	A
DQ911988	1	A
DQ911989	1	A
DQ911990	1	A
DQ911991	1	A
DQ911992	1	A
DQ911993	1	A
DQ911994	1	A
DQ911995	1	A
DQ911996	1	A
DQ911997	1	A
DQ911998	1	A
DQ911999	1	A
DQ912000	1	A
DQ912001	1	A
DQ912002	1	A
DQ912003	1	A
DQ912004	1	A
DQ912005	1	A
DQ912006	1	A
DQ912007	1	A
DQ912008	1	A
DQ912009	1	A
DQ912010	1	A
DQ912011	1	A
DQ912012	1	A
DQ912013	1	A
DQ912014	1	A
DQ912015	1	A
DQ912016	1	A
DQ912017	1	A
DQ912018	1	A
DQ912019	1	A
DQ912020	1	A
DQ912021	1	A
EF116943	2	-
EF205419	1	A
EF205420	1	A
EF205421	1	A
EF205422	1	A
EF205423	1	A
EF205424	1	A
EF205425	1	A
EF205426	1	A
EF205427	1	A
EF205428	1	A
EF205429	1	A
EF205430	1	A
EF205431	1	A
EF205432	1	A
EF205433	1	A
EF205434	1	A
EF205435	1	A
EF205436	1	A
EF205437	1	A
EF631024	1	A
EF631025	1	A
EF631026	1	A
EF631027	1	A
EF631028	1	A
EF631029	1	A
EF631030	1	A
EF631031	1	A
EF631032	1	A
EF631033	1	A
EF631034	1	A
EF631035	1	A
EF631036	1	A
EF631037	1	A
EF631038	1	A
EF631039	1	A
EF631040	1	A
EF631041	1	A
EF631042	1	A
EF631043	1	A
EF631044	1	A
EF631045	1	A
EF631046	1	A
EF631047	1	A
EF631048	1	A
EF631049	1	A
EF631050	1	A
EF631051	1	A
EF631052	1	A
EF631053	1	A
EF631054	1	A
EF631055	1	A
EF631056	1	A
EF631057	1	A
EF631058	1	A
EF631059	1	A
EF631060	1	A
EF631061	1	A
EF631062	1	A
EF631063	1	A
EF631064	1	A
EF631065	1	A
EF631066	1	A
EF631067	1	A
EF631068	1	A
EF631069	1	A
EF631070	1	A
EF631071	1	A
EF631072	1	A
EF631073	1	A
EF631074	1	A
EF631075	1	A
EF631076	1	A
EF631077	1	A
EF631078	1	A
EF631079	1	A
EF631080	1	A
EF631081	1	A
EF631082	1	A
EF631083	1	A
EF631084	1	A
EF631085	1	A
EF631086	1	A
EF631087	1	A
EF631088	1	A
EF631089	1	A
EF631090	1	A
EF631091	1	A
EF631092	1	A
EF631093	1	A
EF631094	1	A
EF631095	1	A
EF631096	1	A
EF631097	1	A
EF631098	1	A
EF631099	1	A
EF631100	1	A
EF631101	1	A
EF631102	1	A
EF631103	1	A
EF631104	1	A
EF631105	1	A
EF631106	1	A
EF631107	1	A
EF631108	1	A
EF631109	1	A
EF631110	1	A
EF631111	1	A
EF631112	1	A
EF631113	1	A
EF631114	1	A
EF631115	1	A
EF631116	1	A
EF631117	1	A
EF631118	1	A
EF631119	1	A
EF631120	1	A
EF631121	1	A
EF631122	1	A
EF631123	1	A
EF631124	1	A
EF631125	1	A
EF631126	1	A
EF631127	1	A
EF631128	1	A
EF631129	1	A
EF631130	1	A
EF631131	1	A
EF631132	1	A
EF631133	1	A
EF631134	1	A
EF631135	1	A
EF631136	1	A
EF631137	1	A
EF631138	1	A
EF631139	1	A
EF631140	1	A
EF631141	1	A
EF631142	1	A
EF631143	1	A
EF631144	1	A
EF631145	1	A
EF631146	1	A
EF631147	1	A
EF631148	1	A
EF631149	1	A
EF631150	1	A
EF631151	1	A
EF631152	1	A
EF631153	1	A
EF631154	1	A
EF631155	1	A
EF631156	1	A
EF631157	1	A
EF631158	1	A
EF631159	1	A
EF631160	1	A
EF631161	1	A
EF631162	1	A
EF631163	1	A
EU303205	1	B
EU303238	1	A
EU391638	1	A
EU391639	1	A
EU391640	1	A
EU391641	1	A
EU391642	1	A
EU394703	1	A
EU919683	1	A
FJ154905	4	-
FJ154906	4	-
FJ154907	4	-
FJ154908	4	-
FJ154909	4	-
FJ154910	4	-
FJ154911	4	-
FJ154912	4	-
FJ154913	4	-
FJ154914	4	-
FJ154915	4	-
FJ154916	4	-
FJ154917	4	-
FJ154918	4	-
FJ154919	4	-
FJ154920	4	-
FJ154921	4	-
FJ154922	4	-
FJ154923	4	-
FJ154924	4	-
FJ154925	4	-
FJ154926	4	-
FJ154927	4	-
FJ154928	4	-
FJ154929	4	-
FJ154930	4	-
FJ154931	4	-
FJ154932	4	-
FJ154933	4	-
FJ154934	4	-
FJ154935	4	-
FJ154936	4	-
FJ154937	4	-
FJ154938	4	-
FJ154939	4	-
FJ154940	4	-
FJ154941	4	-
FJ154942	4	-
FJ154943	4	-
FJ154944	4	-
FJ154945	4	-
FJ154946	4	-
FJ154947	4	-
FJ154948	4	-
FJ154949	4	-
FJ265699	2	-
FJ265700	2	-
FJ265701	2	-
FJ265702	2	-
FJ265703	2	-
FJ375290	1	B
FJ425729	2	-
FJ425730	1	A
FJ425731	1	A
FJ425732	1	A
FJ425733	1	A
FJ425734	1	A
FJ425735	1	A
FJ775668	1	A
FJ775669	1	A
FJ775670	1	A
FJ775671	1	A
FJ775672	1	A
FJ775673	1	A
FJ775674	1	A
FJ775675	1	A
FJ775676	1	A
FJ775677	1	A
FJ775678	1	A
FJ775679	1	A
FJ775680	1	A
FJ775681	1	A
FJ775682	1	A
FJ775683	1	A
FJ775684	1	A
FJ775685	1	A
FJ775686	1	A
FJ775687	1	A
FJ775688	1	A
FJ775689	1	A
FJ775690	1	A
FJ775691	1	A
FJ775692	1	A
FJ775693	1	A
FJ775694	1	A
FJ775695	1	A
FJ775696	1	A
FJ775697	1	A
FJ799714	1	A
FJ799715	1	A
FJ799716	1	A
FJ799717	1	A
FM867597	1	A
FW376249	1	A
FW376250	-	-
FW376251	-	-
FW376252	-	-
FW376253	-	-
FW376254	-	-
FW376255	-	-
FW376256	-	-
FW376257	-	-
GM968054	1	A
GM968056	-	-
GM968057	-	-
GM968059	-	-
GM968060	-	-
GM968061	-	-
GM968063	-	-
GM968065	-	-
GM968067	-	-
GQ421358	3	-
GQ421359	3	-
GQ502357	1	A
GQ502358	1	A
GQ502359	1	A
GQ502360	1	A
GQ502361	1	A
GQ502362	1	A
GQ502363	1	A
GQ502364	1	A
GQ502365	1	A
GQ502366	1	A
GQ502367	1	A
GQ502368	1	A
GQ502369	1	A
GQ502370	1	A
GQ502371	1	A
GQ502372	1	A
GQ502373	1	A
GQ502374	1	A
GQ502375	1	A
GQ502376	1	A
GQ502377	1	A
GQ502378	1	A
GQ502379	1	A
GQ502380	1	A
GQ502381	1	A
GQ502382	1	A
GQ502383	1	A
GQ502384	1	A
GQ502385	1	A
GQ502386	1	A
GQ502387	1	A
GQ502388	1	A
GQ502389	1	A
GQ502390	1	A
GQ502391	1	A
GQ502392	1	A
GQ502393	1	A
GQ502394	1	A
GQ502395	1	A
GQ502396	1	A
GQ502397	1	A
GQ502398	1	A
GQ502399	1	A
GQ502400	1	A
GQ502401	1	A
GQ502402	1	A
GQ502403	1	A
GQ502404	1	A
GQ502405	1	A
GQ502406	1	A
GQ502407	1	A
GQ502408	1	A
GQ502409	1	A
GQ502410	1	A
GQ502411	1	A
GQ502412	1	A
GQ502413	1	A
GQ502414	1	A
GQ502415	1	A
GQ502416	1	A
GQ502417	1	A
GQ502418	1	A
GQ502419	1	A
GQ502420	1	A
GQ502421	1	A
GQ502422	1	A
GQ502423	1	A
GQ502424	1	A
GQ502425	1	A
GQ502426	1	A
GQ502427	1	A
GQ502428	1	A
GQ502429	1	A
GQ502430	1	A
GQ502431	1	A
GQ502432	1	A
GQ502433	1	A
GQ502434	1	A
GQ502435	1	A
GQ502436	1	A
GQ502437	1	A
GQ502438	1	A
GQ502439	1	A
GQ502440	1	A
GQ502441	1	A
GQ502442	1	A
GQ502443	1	A
GQ502444	1	A
GU047874	-	-
GU047875	-	-
GU246634	1	A
GU246635	1	A
GU246636	1	A
GU246637	1	A
GU246638	1	A
GU246639	1	A
GU246640	1	A
GU246641	1	A
GU246642	1	A
GU246643	1	A
GU246644	1	A
GU246645	1	A
GU246646	1	A
GU246647	1	A
GU246648	1	A
GU246649	1	A
GU246650	1	A
GU246651	1	A
GU246652	1	A
GU246653	1	A
GU246654	1	A
GU246655	1	A
GU246656	1	A
GU246657	1	A
GU246658	1	A
GU246659	1	A
GU246660	1	A
GU246661	1	A
GU246662	1	A
GU246663	1	A
GU246664	1	A
GU246665	1	A
GU246666	1	A
GU246667	1	A
GU246669	1	A
GU246671	1	A
GU246672	1	A
GU246673	1	A
GU246674	1	A
GU246675	1	A
GU246676	1	A
GU246678	1	A
GU246679	1	A
GU246680	1	A
GU246681	1	A
GU246682	1	A
GU246683	1	A
GU246684	1	A
GU246685	1	A
GU246686	1	A
GU246687	1	A
GU246688	1	A
GU246689	1	A
GU246690	1	A
GU246691	1	A
GU246692	1	A
GU246693	1	A
GU246694	1	A
GU246695	1	A
GU246696	1	A
GU246697	1	A
GU246698	1	A
GU246699	1	A
GU246700	1	A
GU246701	1	A
GU246702	1	A
GU246703	1	A
GU246704	1	A
GU246705	1	A
GU246706	1	A
GU246707	1	A
GU246708	1	A
GU246709	1	A
GU246710	1	A
GU246711	1	A
GU246712	1	A
GU246713	1	A
GU246714	1	A
GU386758	1	A
GU386759	1	A
GU386760	1	A
GU386761	1	A
GU386762	1	A
GU386763	1	A
GU386764	1	A
GU386765	1	A
GU386766	1	A
GU386767	1	A
GU386768	1	A
GU386769	1	A
GU386770	1	A
GU386771	1	A
GU386772	1	A
GU386773	1	A
GU386774	1	A
GU386775	1	A
GU386776	1	A
GU386777	1	A
GU386778	1	A
GU386779	1	A
GU386780	1	A
GU386781	1	A
GU386782	1	A
GU386783	1	A
GU386784	1	A
GU386785	1	A
GU386786	1	A
GU386787	1	A
GU386788	1	A
GU386789	1	A
GU386790	1	A
GU386791	1	A
GU386792	1	A
GU386793	1	A
GU386794	1	A
GU386795	1	A
GU386796	1	A
GU386797	1	A
GU386798	1	A
GU386799	1	A
GU386800	1	A
GU386801	1	A
GU386802	1	A
GU386803	1	A
GU386804	1	A
GU386805	1	A
GU386806	1	A
GU386807	1	A
GU386808	1	A
GU386809	1	A
GU386810	1	A
GU386811	1	A
GU386812	1	A
GU386813	1	A
GU386814	1	A
GU386815	1	A
GU386816	1	A
GU386817	1	A
GU386818	1	A
GU386819	1	A
GU386820	1	A
GU386821	1	A
GU386822	1	A
GU386823	1	A
GU386824	1	A
GU386825	1	A
GU386826	1	A
GU386827	1	A
GU386828	1	A
GU386829	1	A
GU386830	1	A
GU386831	1	A
GU386832	1	A
GU386833	1	A
GU386834	1	A
GU386835	1	A
GU386836	1	A
GU386837	1	A
GU386838	1	A
GU386839	1	A
GU386840	1	A
GU386841	1	A
GU386842	1	A
GU386843	1	A
GU386844	1	A
GU386845	1	A
GU386846	1	A
GU386847	1	A
GU386848	1	A
GU386849	1	A
GU386850	1	A
GU386851	1	A
GU386852	1	A
GU386853	1	A
GU386854	1	A
GU386855	1	A
GU386856	1	A
GU386857	1	A
GU386858	1	A
GU386859	1	A
GU386860	1	A
GU386861	1	A
GU386862	1	A
GU386863	1	A
GU386864	1	A
GU386865	1	A
GU386866	1	A
GU386867	1	A
GU386868	1	A
GU386869	1	A
GU386870	1	A
GU386871	1	A
GU386872	1	A
GU386873	1	A
GU386874	1	A
GU386875	1	A
GU386876	1	A
GU386877	1	A
GU386878	1	A
GU386879	1	A
GU386880	1	A
GU386881	1	A
GU386882	1	A
GU386883	1	A
GU566737	2	-
GU566738	2	-
GU566739	2	-
GU566740	2	-
GU580891	2	-
HC467785	1	A
HC467786	1	A
HC467787	1	A
HC467788	1	A
HC467789	1	A
HC467790	1	A
HC467791	1	A
HC467792	1	A
HC467793	1	A
HC467794	1	A
HC467795	1	A
HC467796	1	A
HC467797	1	A
HC467798	1	A
HC467799	1	A
HC467800	1	A
HC467801	1	A
HC467802	1	A
HC467803	1	A
HC467804	1	A
HC467805	1	A
HC467806	1	A
HE984574	2	-
HE984575	2	-
HG328830	2	-
HG328831	2	-
HG514461	2	-
HG514462	2	-
HG514463	2	-
HG514464	2	-
HG514465	2	-
HG514466	2	-
HG514467	2	-
HG514468	2	-
HG918026	2	-
HG918027	2	-
HG918028	2	-
HG918029	2	-
HG918030	2	-
HG918031	2	-
HG918032	2	-
HG918033	2	-
HG918034	2	-
HG918035	2	-
HG918036	2	-
HG918037	2	-
HH961662	1	A
HH961664	1	A
HM015884	2	-
HM152774	1	A
HM152776	1	A
HM152780	1	A
HM538803	1	A
HM538804	1	A
HM538805	1	A
HM538806	1	A
HM538807	1	A
HM538808	1	A
HM538809	1	A
HM538810	1	A
HM538811	1	A
HM538812	1	A
HM538813	1	A
HM538814	1	A
HM538815	1	A
HM538816	1	A
HM538817	1	A
HM538818	1	A
HM538819	1	A
HM538820	1	A
HM538821	1	A
HM538822	1	A
HM538823	1	A
HM538824	1	A
HM538825	1	A
HM538826	1	A
HM538827	1	A
HM538828	1	A
HM538829	1	A
HM991272	1	A
HM991273	1	A
HM991274	1	A
HM991275	1	A
HM991276	1	A
HM991277	1	A
HQ237494	2	-
HQ237498	2	-
HQ246154	5	-
HQ259664	5	-
HQ285244	5	-
HQ594470	1	A
HQ833021	1	A
HQ840762	-	-
HV572290	1	A
HV572291	1	A
HV572292	1	A
HV572293	1	A
HV572294	1	A
HV572295	1	A
HV572296	1	A
HV572297	1	A
HV572298	1	A
HV572299	1	A
HV572300	1	A
HV572301	1	A
HV572302	1	A
HV572303	1	A
HV572304	1	A
HV572305	1	A
HV572306	1	A
HV572307	1	A
HV572308	1	A
HV572309	1	A
HV572310	1	A
HV572311	1	A
HW816170	1	A
HW816171	1	A
HW816172	1	A
HW816173	1	A
HW816174	1	A
HW816175	1	A
HW816176	1	A
HW816177	1	A
HW816178	1	A
HW816179	1	A
HW816180	1	A
HW816181	1	A
HW816182	1	A
HW816183	1	A
HW816184	1	A
HW816185	1	A
HW816186	1	A
HW816187	1	A
HW816188	1	A
HW816189	1	A
HW816190	1	A
HW816191	1	A
JA190480	1	A
JF499910	1	A
JF499911	1	A
JF499912	1	A
JF499913	1	A
JF499914	1	A
JF499915	1	A
JF719073	2	-
JF917092	2	-
JN182683	1	A
JN182684	1	A
JN226826	2	-
JN226827	2	-
JN226828	2	-
JN226830	2	-
JN226831	2	-
JN226832	2	-
JN398476	2	-
JQ037832	5	-
JQ918659	1	A
JQ928231	1	A
JQ928232	1	A
JX014270	1	B
JX112013	2	-
JX122763	1	A
JX417422	1	A
JX442278	1	A
JX442280	1	A
JX442281	1	A
JX442282	1	A
JX444751	1	A
JX843471	2	-
JX878386	2	-
JX878387	2	-
KC131117	1	A
KC131118	1	A
KC131119	1	A
KC131120	1	A
KC131121	1	A
KC131122	1	A
KC131123	1	A
KC131124	1	A
KC131125	1	A
KC131126	2	-
KC131127	2	-
KC131128	2	-
