sequenceID	lineage	clade	length	pubmed_id	isolate_data.country	isolate_data.place_sampled	isolate_data.sampled_host_sci_name	isolate_data.collection_year	isolate_data.collection_month	isolate_data.collection_month_day
GQ507475	1	A	10825	22927414	USA	-	Homo sapiens	2005	JUN	27
GQ507476	1	A	10825	22927414	USA	-	Homo sapiens	2005	JUL	27
GQ507477	1	A	10825	22927414	USA	-	Homo sapiens	2005	AUG	1
GQ507478	1	A	10825	22927414	USA	-	Homo sapiens	2005	AUG	26
GQ507479	1	A	10820	22927414	USA	-	Homo sapiens	2005	SEP	9
GQ507480	1	A	10825	22927414	USA	-	Homo sapiens	2005	OCT	4
GQ507481	1	A	10825	22927414	USA	-	Homo sapiens	2006	AUG	22
GQ507482	1	A	10825	22927414	USA	-	Homo sapiens	2006	SEP	3
GQ507483	1	A	10825	22927414	USA	-	Homo sapiens	2007	AUG	2
GQ507484	1	A	10825	22927414	USA	-	Homo sapiens	2007	AUG	16
GQ851603	1	B	10983	21159871	Australia	-	Culex annulirostris	1991	-	-
GQ851604	5	-	10489	21159871	India	-	-	1957	-	-
GQ851605	5	-	10997	21159871	India	-	mosquito	1957	-	-
GQ851606	1	A	10951	21159871	Senegal	-	-	1979	-	-
GQ851607	1	A	10962	21159871	Nigeria	-	-	1965	-	-
GQ851608	1	A	10964	21159871	Central African Republic	-	-	1967	-	-
GU827998	1	A	10941	20580395	USA	Texas	Cyanocitta cristata	2002	-	-
GU827999	1	A	10992	20580395	USA	Texas	Cyanocitta cristata	2003	-	-
GU828000	1	A	10978	20580395	USA	Texas	Cyanocitta cristata	2003	-	-
GU828001	1	A	10959	20580395	USA	Texas	Culex quinquefasciatus	2003	-	-
GU828002	1	A	10958	20580395	USA	Texas	Culex quinquefasciatus	2003	-	-
GU828003	1	A	10936	20580395	USA	Texas	mourning dove	2003	-	-
GU828004	1	A	10959	20580395	USA	Texas	Cyanocitta cristata	2003	-	-
HG994351	1	A	10888	-	-	-	-	-	-	-
HG994352	1	A	10884	-	-	-	-	-	-	-
HG994353	1	A	10886	-	-	-	-	-	-	-
HG994354	1	A	10885	-	-	-	-	-	-	-
HH961658	1	A	10975	-	-	-	-	-	-	-
HM152775	1	A	10980	-	Israel	-	Homo sapiens	2000	-	-
HM488115	1	A	10621	21723580	USA	Connecticut	Culex salinarius	2005	-	-
HM488116	1	A	10904	21723580	USA	Connecticut	Culex pipiens male	2005	-	-
HM488117	1	A	10621	21723580	USA	Connecticut	Ochlerotatus triseriatus	2005	-	-
HM488118	1	A	10622	21723580	USA	Connecticut	Culex pipiens male	2005	-	-
HM488119	1	A	10622	21723580	USA	Connecticut	Culex pipiens male	2005	-	-
HM488120	1	A	10621	21723580	USA	Connecticut	Culex pipiens male	2005	-	-
HM488121	1	A	10718	21723580	USA	Connecticut	Culex pipiens	2005	-	-
HM488122	1	A	10617	21723580	-	-	Culex pipiens	2006	-	-
HM488123	1	A	10449	21723580	-	-	Culex pipiens	2006	-	-
HM488124	1	A	10622	21723580	-	-	Mesocricetus auratus	2006	-	-
HM488125	1	A	10516	21723580	USA	Connecticut	Corvus brachyrhynchos	1999	-	-
HM488126	1	A	10598	21723580	USA	Connecticut	Corvus brachyrhynchos	1999	-	-
HM488127	1	A	10625	21723580	USA	Connecticut	Corvus brachyrhynchos	1999	-	-
HM488128	1	A	10616	21723580	USA	Connecticut	Corvus brachyrhynchos	1999	-	-
HM488129	1	A	10617	21723580	USA	Connecticut	Culex salinarius	2000	-	-
HM488130	1	A	10621	21723580	USA	Connecticut	Culex salinarius	2000	-	-
HM488131	1	A	10620	21723580	USA	Connecticut	Culex pipiens	2000	-	-
HM488132	1	A	10621	21723580	USA	Connecticut	Culiseta melanura	2000	-	-
HM488133	1	A	10621	21723580	USA	Connecticut	Culex pipiens	2001	-	-
HM488134	1	A	10513	21723580	USA	Connecticut	Ochlerotatus sollicitans	2001	-	-
HM488135	1	A	10621	21723580	USA	Connecticut	Ochlerotatus cantator	2001	-	-
HM488136	1	A	10621	21723580	USA	Connecticut	Culex restuans	2001	-	-
HM488137	1	A	10621	21723580	USA	Connecticut	Culex pipiens	2002	-	-
HM488138	1	A	10621	21723580	USA	Connecticut	Culex restuans	2003	-	-
HM488139	1	A	10445	21723580	USA	Connecticut	Culex salinarius	2003	-	-
HM488140	1	A	10466	21723580	USA	Connecticut	Aedes vexans	2003	-	-
HM488141	1	A	10523	21723580	USA	Connecticut	Culex pipiens	2003	-	-
HM488142	1	A	10421	21723580	USA	Connecticut	Ochlerotatus triseriatus	2004	-	-
HM488143	1	A	10621	21723580	USA	Connecticut	Aedes cinereus	2004	-	-
HM488145	1	A	10621	21723580	USA	Connecticut	Aedes vexans	2004	-	-
HM488146	1	A	10518	21723580	USA	Connecticut	Psorophora ferox	2004	-	-
HM488147	1	A	10621	21723580	USA	Connecticut	Culex salinarius	2004	-	-
HM488148	1	A	10621	21723580	USA	Connecticut	Culex pipiens	2004	-	-
HM488149	1	A	10621	21723580	USA	Connecticut	Ochlerotatus cantator	2005	-	-
HM488150	1	A	10621	21723580	USA	Connecticut	Culex pipiens	2005	-	-
HM488151	1	A	10621	21723580	USA	Connecticut	Culex pipiens	2005	-	-
HM488152	1	A	10567	21723580	USA	Connecticut	Aedes vexans	2005	-	-
HM488153	1	A	10643	21723580	USA	Connecticut	Culex pipiens male	2005	-	-
HM488154	1	A	10625	21723580	USA	Connecticut	Culex pipiens male	2005	-	-
HM488155	1	A	10617	21723580	USA	Connecticut	Culex restuans	2006	-	-
HM488156	1	A	10621	21723580	USA	Connecticut	Culex pipiens	2006	-	-
HM488157	1	A	10645	21723580	USA	Connecticut	Culex pipiens	2006	-	-
HM488158	1	A	10504	21723580	USA	Connecticut	Culex pipiens	2006	-	-
HM488159	1	A	10434	21723580	USA	Connecticut	Culex salinarius	2006	-	-
HM488160	1	A	10617	21723580	USA	Connecticut	Culex pipiens	2006	-	-
HM488161	1	A	10620	21723580	USA	Connecticut	Culex pipiens	2007	-	-
HM488162	1	A	10610	21723580	USA	Connecticut	Culex pipiens	2007	-	-
HM488163	1	A	10621	21723580	USA	Connecticut	Culex pipiens	2007	-	-
HM488164	1	A	10453	21723580	USA	Connecticut	Culex pipiens	2007	-	-
HM488165	1	A	10534	21723580	USA	Connecticut	Culex pipiens	2007	-	-
HM488166	1	A	10687	21723580	USA	Connecticut	Culex pipiens	2008	-	-
HM488167	1	A	10619	21723580	USA	Connecticut	Culex pipiens	2008	-	-
HM488168	1	A	10706	21723580	USA	Connecticut	Culex pipiens	2008	-	-
HM488169	1	A	10502	21723580	USA	Connecticut	Culex pipiens	2008	-	-
HM488170	1	A	10620	21723580	USA	Connecticut	Culex pipiens	2008	-	-
HM488171	1	A	10854	21723580	USA	Connecticut	Culex restuans	2003	-	-
HM488172	1	A	10887	21723580	USA	Connecticut	Ochlerotatus sticticus	2003	-	-
HM488173	1	A	10902	21723580	USA	Connecticut	Culex restuans	2003	-	-
HM488174	1	A	10741	21723580	USA	Connecticut	Culex salinarius	2003	-	-
HM488175	1	A	10707	21723580	USA	Connecticut	Culex restuans	2003	-	-
HM488177	1	A	10621	-	USA	Illinois	Corvus brachyrhynchos	2002	-	-
HM488178	1	A	10614	-	USA	Illinois	Corvus brachyrhynchos	2002	-	-
HM488179	1	A	10452	-	USA	Illinois	Corvus brachyrhynchos	2002	-	-
HM488180	1	A	10541	-	USA	Illinois	Corvus brachyrhynchos	2002	-	-
HM488181	1	A	10433	-	USA	Illinois	Corvus brachyrhynchos	2002	-	-
HM488182	1	A	10474	-	USA	Illinois	Corvus brachyrhynchos	2002	-	-
HM488183	1	A	10621	-	USA	Illinois	Cyanocitta cristata	2002	-	-
HM488184	1	A	10621	-	USA	Illinois	Cyanocitta cristata	2002	-	-
HM488185	1	A	10621	-	USA	Illinois	Cyanocitta cristata	2003	-	-
HM488186	1	A	10440	-	USA	Illinois	Corvus brachyrhynchos	2003	-	-
HM488187	1	A	10442	-	USA	Illinois	Corvus brachyrhynchos	2003	-	-
HM488188	1	A	10621	-	USA	Illinois	Corvus brachyrhynchos	2004	-	-
HM488189	1	A	10508	-	USA	Illinois	Cyanocitta cristata	2004	-	-
HM488190	1	A	10402	-	USA	Illinois	Corvus brachyrhynchos	2004	-	-
HM488191	1	A	10621	-	USA	Illinois	Corvus brachyrhynchos	2004	-	-
HM488192	1	A	10610	-	USA	Illinois	Corvus brachyrhynchos	2005	-	-
HM488193	1	A	10409	-	USA	Illinois	Corvus brachyrhynchos	2005	-	-
HM488194	1	A	10663	-	USA	Illinois	Corvus brachyrhynchos	2005	-	-
HM488195	1	A	10488	-	USA	Illinois	Cyanocitta cristata	2005	-	-
HM488196	1	A	10437	-	USA	Illinois	Corvus brachyrhynchos	2005	-	-
HM488197	1	A	10620	-	USA	Illinois	Corvus brachyrhynchos	2005	-	-
HM488198	1	A	10617	-	USA	Illinois	Culex pipiens	2005	-	-
HM488199	1	A	10614	-	USA	New York	Corvus brachyrhynchos	2007	-	-
HM488200	1	A	10621	-	USA	New York	Corvus brachyrhynchos	2007	-	-
HM488201	1	A	10665	-	USA	New York	Corvus brachyrhynchos	2007	-	-
HM488202	1	A	10463	-	USA	New York	Cyanocitta cristata	2007	-	-
HM488203	1	A	10620	-	USA	New York	Corvus brachyrhynchos	2008	-	-
HM488204	1	A	10617	-	USA	New York	Corvus brachyrhynchos	2008	-	-
HM488205	1	A	10621	-	USA	New York	Corvus brachyrhynchos	2008	-	-
HM488206	1	A	10541	-	USA	New York	Corvus brachyrhynchos	2008	-	-
HM488207	1	A	10621	-	USA	New York	Cyanocitta cristata	2008	-	-
HM488208	1	A	10691	21723580	USA	Connecticut	Culex salinarius	2002	-	-
HM488209	1	A	10622	21723580	USA	Connecticut	Ochlerotatus sticticus	2003	-	-
HM488210	1	A	10709	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM488211	1	A	10649	21723580	USA	Connecticut	Culex restuans	2003	-	-
HM488212	1	A	10761	21723580	USA	Connecticut	Culex salinarius	2003	-	-
HM488213	1	A	10672	21723580	USA	Connecticut	Culex restuans	2003	-	-
HM488214	1	A	10621	21723580	USA	Connecticut	Culex pipiens	2003	-	-
HM488215	1	A	10621	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM488216	1	A	10645	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM488217	1	A	10467	21723580	USA	Connecticut	Culex salinarius	2003	-	-
HM488218	1	A	10491	21723580	USA	Connecticut	Culex pipiens	2003	-	-
HM488219	1	A	10985	21723580	USA	Connecticut	Culex pipiens	2003	-	-
HM488220	1	A	10621	21723580	USA	Connecticut	Culex salinarius	2003	-	-
HM488221	1	A	10704	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM488222	1	A	10649	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM488223	1	A	10619	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM488224	1	A	10439	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM488225	1	A	10620	21723580	USA	Connecticut	Aedes cinereus	2003	-	-
HM488226	1	A	10621	21723580	USA	Connecticut	Culex pipiens	2003	-	-
HM488227	1	A	10655	21723580	USA	Connecticut	Culex restuans	2003	-	-
HM488228	1	A	10621	21723580	USA	Connecticut	Culex salinarius	2003	-	-
HM488229	1	A	10622	21723580	USA	Connecticut	Psorophora ferox	2003	-	-
HM488230	1	A	10985	21723580	USA	Connecticut	Culex salinarius	2003	-	-
HM488231	1	A	10501	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM488232	1	A	10737	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM488233	1	A	10732	21723580	USA	Connecticut	Aedes vexans	2003	-	-
HM488234	1	A	10741	21723580	USA	Connecticut	Culex salinarius	2003	-	-
HM488235	1	A	10908	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM488236	1	A	10843	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM488237	1	A	10621	-	USA	New York	Corvus brachyrhynchos	2008	-	-
HM488238	1	A	10621	-	USA	New York	Corvus brachyrhynchos	2008	-	-
HM488239	1	A	10621	-	USA	New York	Corvus brachyrhynchos	2008	-	-
HM488240	1	A	10403	-	USA	New York	Cyanocitta cristata	2008	-	-
HM488241	1	A	10623	-	USA	New York	Corvus brachyrhynchos	2008	-	-
HM488242	1	A	10478	-	USA	New York	Poecile atricapilla	2008	-	-
HM488243	1	A	10618	-	USA	New York	Corvus brachyrhynchos	2008	-	-
HM488244	1	A	10629	-	USA	New York	Falco sparverius	2008	-	-
HM488245	1	A	10621	-	USA	New York	Corvus brachyrhynchos	2008	-	-
HM488246	1	A	10533	-	USA	New York	Corvus brachyrhynchos	2001	-	-
HM488247	1	A	10612	-	USA	New York	Corvus brachyrhynchos	2001	-	-
HM488248	1	A	10608	-	USA	New York	Corvus brachyrhynchos	2001	-	-
HM488249	1	A	10484	-	USA	New York	Corvus brachyrhynchos	2001	-	-
HM488250	1	A	10611	-	USA	New York	Corvus brachyrhynchos	2003	-	-
HM488251	1	A	10612	-	USA	New York	Corvus brachyrhynchos	2003	-	-
HM488252	1	A	10611	-	USA	New York	Corvus brachyrhynchos	2005	-	-
HM488253	1	A	10636	-	USA	Illinois	Culex sp.	2006	-	-
HM488254	1	A	10621	-	USA	Illinois	Culex sp.	2007	-	-
HM538578	1	A	10331	-	USA	Connecticut	Ochlerotatus triseriatus	2001	-	-
HM538579	1	A	10386	-	USA	Connecticut	Culex restuans	2003	-	-
HM538580	1	A	10393	-	USA	Connecticut	Culex restuans	2005	-	-
HM538581	1	A	10482	-	USA	Connecticut	Culex pipiens	2007	-	-
HM538582	1	A	10313	-	USA	Illinois	Corvus brachyrhynchos	2004	-	-
HM538583	1	A	10292	-	USA	Illinois	Buteo jamaicensis	2004	-	-
HM538584	1	A	10388	-	USA	New York	Passer domesticus	2007	-	-
HM641225	1	A	5759	-	Italy	-	Homo sapiens	2009	-	-
HM641226	1	A	5759	-	Italy	-	Homo sapiens	2009	-	-
HM641227	1	A	5759	-	Italy	-	Homo sapiens	2009	-	-
HM641228	1	A	5759	-	Italy	-	Homo sapiens	2009	-	-
HM641229	1	A	5759	-	Italy	-	Homo sapiens	2009	-	-
HM641230	1	A	5759	-	Italy	-	Homo sapiens	2009	-	-
HM756648	1	A	10621	21723580	USA	Connecticut	Ochlerotatus trivittatus	2002	-	-
HM756649	1	A	10485	21723580	USA	Connecticut	Culex pipiens	2006	-	-
HM756650	1	A	10809	21723580	USA	Connecticut	Culex salinarius	2003	-	-
HM756651	1	A	10637	21723580	USA	Connecticut	Ochlerotatus trivittatus	2003	-	-
HM756652	1	A	10619	21723580	USA	Connecticut	Aedes cinereus	2003	-	-
HM756653	1	A	10621	21723580	USA	Connecticut	Culex pipiens	2003	-	-
HM756654	1	A	10509	21723580	USA	Connecticut	Culex salinarius	2003	-	-
HM756655	1	A	10312	21723580	USA	Connecticut	Culex salinarius	2003	-	-
HM756656	1	A	10649	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM756658	1	A	10613	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM756659	1	A	10660	21723580	USA	Connecticut	Culiseta melanura	2003	-	-
HM756660	1	A	10547	-	USA	New York	Accipiter cooperii	2008	-	-
HM756661	1	A	10613	-	USA	New York	Corvus brachyrhynchos	2001	-	-
HM756662	1	A	10612	-	USA	New York	Corvus brachyrhynchos	2001	-	-
HM756663	1	A	10611	-	USA	New York	Corvus brachyrhynchos	2001	-	-
HM756664	1	A	10611	-	USA	New York	Corvus brachyrhynchos	2002	-	-
HM756665	1	A	10488	-	USA	New York	Corvus brachyrhynchos	2002	-	-
HM756666	1	A	10611	-	USA	New York	Corvus brachyrhynchos	2003	-	-
HM756667	1	A	10613	-	USA	New York	Corvus brachyrhynchos	2003	-	-
HM756668	1	A	10608	-	USA	New York	Corvus brachyrhynchos	2003	-	-
HM756669	1	A	10413	-	USA	New York	Corvus brachyrhynchos	2003	-	-
HM756670	1	A	10612	-	USA	New York	Corvus brachyrhynchos	2003	-	-
HM756671	1	A	10612	-	USA	New York	Corvus brachyrhynchos	2004	-	-
HM756672	1	A	10454	-	USA	New York	Corvus brachyrhynchos	2004	-	-
HM756673	1	A	10612	-	USA	New York	Corvus brachyrhynchos	2004	-	-
HM756674	1	A	10303	-	USA	New York	Corvus brachyrhynchos	2004	-	-
HM756675	1	A	10612	-	USA	New York	Corvus brachyrhynchos	2005	-	-
HM756676	1	A	10478	-	USA	Illinois	Cyanocitta cristata	2003	-	-
HM756677	1	A	10617	-	USA	New Mexico	Loriidae sp. (Loriinae subfamily)	2005	-	-
HM756678	1	A	10621	-	USA	New York	Corvus brachyrhynchos	2007	-	-
HQ671668	1	A	10623	-	-	-	Mus musculus	-	-	-
HQ671669	1	A	10957	-	-	-	Mus musculus	-	-	-
HQ671670	1	A	10708	-	-	-	Mus musculus	-	-	-
HQ671671	1	A	10619	-	-	-	Mus musculus	-	-	-
HQ671672	1	A	10610	-	-	-	Mus musculus	-	-	-
HQ671673	1	A	10614	-	-	-	Mus musculus	-	-	-
HQ671674	1	A	10613	-	-	-	Mus musculus	-	-	-
HQ671675	1	A	10613	-	-	-	Mus musculus	-	-	-
HQ671676	1	A	10504	-	-	-	Mus musculus	-	-	-
HQ671677	1	A	10621	-	-	-	Mus musculus	-	-	-
HQ671678	1	A	10462	-	-	-	Mus musculus	-	-	-
HQ671679	1	A	10787	-	-	-	Mus musculus	-	-	-
HQ671680	1	A	10584	-	-	-	Mus musculus	-	-	-
HQ671681	1	A	10632	-	-	-	Mus musculus	-	-	-
HQ671682	1	A	10599	-	-	-	Mus musculus	-	-	-
HQ671683	1	A	10785	-	-	-	Mus musculus	-	-	-
HQ671684	1	A	10584	-	-	-	Mus musculus	-	-	-
HQ671685	1	A	10584	-	-	-	Mus musculus	-	-	-
HQ671686	1	A	10583	-	-	-	Mus musculus	-	-	-
HQ671687	1	A	10622	-	-	-	Culex pipiens quinquefasciatus	-	-	-
HQ671688	1	A	10619	-	-	-	Culex pipiens quinquefasciatus	-	-	-
HQ671689	1	A	10619	-	-	-	Culex pipiens quinquefasciatus	-	-	-
HQ671690	1	A	10604	-	-	-	Culex pipiens quinquefasciatus	-	-	-
HQ671691	1	A	10642	-	-	-	Gallus gallus	-	-	-
HQ671692	1	A	10624	-	-	-	Gallus gallus	-	-	-
HQ671693	1	A	10614	-	-	-	Gallus gallus	-	-	-
HQ671694	1	A	10613	-	-	-	Gallus gallus	-	-	-
HQ671695	1	A	10612	-	-	-	Gallus gallus	-	-	-
HQ671696	1	A	10618	-	USA	Connecticut	Culex salinarius	2001	-	-
HQ671697	1	A	10621	-	USA	Connecticut	Aedes vexans	2001	-	-
HQ671698	1	A	10554	-	USA	Connecticut	Culex restuans	2002	-	-
HQ671699	1	A	10667	-	USA	Connecticut	Ochlerotatus sollicitans	2002	-	-
HQ671700	1	A	10645	-	USA	Connecticut	Culiseta melanura	2003	-	-
HQ671701	1	A	10734	-	USA	Connecticut	Culex salinarius	2003	-	-
HQ671702	1	A	10662	-	USA	Connecticut	Ochlerotatus canadensis	2003	-	-
HQ671703	1	A	10613	-	USA	Connecticut	Culiseta melanura	2003	-	-
HQ671704	1	A	10804	-	USA	Connecticut	Culex pipiens	2003	-	-
HQ671705	1	A	10731	-	USA	Connecticut	Culiseta melanura	2003	-	-
HQ671706	1	A	10614	-	USA	Connecticut	Aedes vexans	1999	-	-
HQ671707	1	A	10607	-	USA	Connecticut	Culex pipiens	1999	-	-
HQ671708	1	A	10613	-	USA	Connecticut	Culex restuans	2000	-	-
HQ671709	1	A	10488	-	USA	Connecticut	Culex pipiens	2000	-	-
HQ671710	1	A	10612	-	USA	Connecticut	Culex pipiens	2000	-	-
HQ671711	1	A	10613	-	USA	Connecticut	Culex pipiens	2000	-	-
HQ671712	1	A	10613	-	USA	Connecticut	Culiseta melanura	2000	-	-
HQ671713	1	A	10677	-	USA	Connecticut	Corvus brachyrhynchos	2001	-	-
HQ671714	1	A	10613	-	USA	Connecticut	Culex salinarius	2001	-	-
HQ671715	1	A	10614	-	USA	Connecticut	Culex pipiens	2001	-	-
HQ671716	1	A	10610	-	USA	Connecticut	Culiseta melanura	2001	-	-
HQ671717	1	A	10614	-	USA	Connecticut	Aedes cinereus	2001	-	-
HQ671718	1	A	10614	-	USA	Connecticut	Culex salinarius	2001	-	-
HQ671719	1	A	10612	-	USA	Connecticut	Culex pipiens	2001	-	-
HQ671720	1	A	10737	-	USA	Connecticut	Corvus brachyrhynchos	2002	-	-
HQ671721	1	A	10622	-	USA	New York	Corvus brachyrhynchos	2008	-	-
HQ671722	1	A	10454	-	USA	New York	Corvus brachyrhynchos	2002	-	-
HQ671723	1	A	10608	-	USA	New York	Corvus brachyrhynchos	2003	-	-
HQ671724	1	A	10389	-	USA	New York	Corvus brachyrhynchos	2005	-	-
HQ671725	1	A	10613	-	USA	New York	Corvus brachyrhynchos	2005	-	-
HQ671726	1	A	10613	-	USA	New York	Corvus brachyrhynchos	2005	-	-
HQ671727	1	A	10553	-	USA	New York	Corvus brachyrhynchos	2006	-	-
HQ671728	1	A	10614	-	USA	New York	Corvus brachyrhynchos	2006	-	-
HQ671729	1	A	10613	-	USA	New York	Corvus brachyrhynchos	2006	-	-
