taxon	sequenceID	isolate	country	collection_year	sampled_host_sci_name	combined-iso-details	lineage	clade	combined
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP109692	KP109692	Cx. pipiens/Vienna/2014	Austria	2014	Culex pipiens	Austria/2014/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP780837	KP780837	Sepperl	Austria	2008	Nestor notabilis (kea)	Austria/2008/Nestor notabilis (kea)	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP780838	KP780838	Mismo	Austria	2009	Nestor notabilis (kea)	Austria/2009/Nestor notabilis (kea)	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP780839	KP780839	Berliner	Austria	2011	Nestor notabilis (kea)	Austria/2011/Nestor notabilis (kea)	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP780840	KP780840	Tammy	Austria	2014	Nestor notabilis (kea)	Austria/2014/Nestor notabilis (kea)	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP789953	KP789953	Italy/2014/Pavia1	Italy	2014	Homo sapiens male born in 1939	Italy/2014/Homo sapiens male born in 1939	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP789954	KP789954	Italy/2014/Cremona2	Italy	2014	Homo sapiens male born in 1959	Italy/2014/Homo sapiens male born in 1959	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP789955	KP789955	Italy/2014/Verona/35.1	Italy	2014	Homo sapiens female born in 1967	Italy/2014/Homo sapiens female born in 1967	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP789956	KP789956	Italy/2014/Verona/35.2	Italy	2014	Homo sapiens male born in 1938	Italy/2014/Homo sapiens male born in 1938	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP789957	KP789957	Italy/2014/Cremona4	Italy	2014	Homo sapiens male born in 1963	Italy/2014/Homo sapiens male born in 1963	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP789958	KP789958	Italy/2014/Pavia5	Italy	2014	Homo sapiens male born in 1945	Italy/2014/Homo sapiens male born in 1945	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP789959	KP789959	Italy/2014/Pavia4	Italy	2014	Homo sapiens female born in 1934	Italy/2014/Homo sapiens female born in 1934	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP789960	KP789960	Italy/2013/Mantova/36.1	Italy	2013	Homo sapiens male born in 1952	Italy/2013/Homo sapiens male born in 1952	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KT207791	KT207791	792/14	Italy	2014	mosquito	Italy/2014/mosquito	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KT207792	KT207792	1270/14	Italy	2014	mosquito	Italy/2014/mosquito	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KT359349	KT359349	2014/hun	Hungary	2014	Homo sapiens	Hungary/2014/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KT757318	KT757318	Vojvodina_2013_01	Serbia	2013	Culex pipiens	Serbia/2013/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KT757319	KT757319	Vojvodina_2013_02	Serbia	2013	Culex pipiens	Serbia/2013/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KT757320	KT757320	Vojvodina_2013_03	Serbia	2013	Culex pipiens	Serbia/2013/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KT757321	KT757321	Vojvodina_2013_04	Serbia	2013	Culex pipiens	Serbia/2013/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KT757322	KT757322	Vojvodina_2013_05	Serbia	2013	Culex pipiens	Serbia/2013/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KT757323	KT757323	Vojvodina_2013_06	Serbia	2013	Culex pipiens	Serbia/2013/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KU206781	KU206781	Bulgaria/2015/Sofia	Bulgaria	2015	Homo sapiens	Bulgaria/2015/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KU573080	KU573080	178907_2013	Italy	2013	Culex pipiens	Italy/2013/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KU573081	KU573081	210912/2013	Italy	2013	Pica pica (magpie)	Italy/2013/Pica pica (magpie)	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KU573082	KU573082	223278/2013	Italy	2013	Corvidae sp.	Italy/2013/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KU573083	KU573083	244558/2013	Italy	2013	Culex pipiens	Italy/2013/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KX375812	KX375812	Novi Sad 24/2013	Serbia	2013	Homo sapiens	Serbia/2013/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/LR743429	LR743429	ED-I-142_18	-	-	-	-/-/-	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/LR743447	LR743447	CCT1C7-20	-	-	-	-/-/-	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/LR743455	LR743455	CCT1C7-20	-	-	-	-/-/-	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/M12294	M12294	-	-	-	-	-/-/-	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984337	MF984337	Blood donor 1/Austria/2015 (BD1/15)	Austria	2015	Homo sapiens	Austria/2015/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984338	MF984338	Blood donor 2/Austria/2015 (BD2/15)	Austria	2015	Homo sapiens	Austria/2015/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984339	MF984339	Blood donor 3/Austria/2015 (BD3/15)	Austria	2015	Homo sapiens	Austria/2015/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984340	MF984340	Blood donor 4/Austria/2015 (BD4/15)	Austria	2015	Homo sapiens	Austria/2015/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984341	MF984341	Blood donor Blood donor 5/Austria/2015 (BD5/15)	Austria	2015	Homo sapiens	Austria/2015/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984342	MF984342	Patient 1/Austria/2015 (Pa1/15)	Austria	2015	Homo sapiens	Austria/2015/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984346	MF984346	Blood donor 1/Austria/2016 (BD1/16)	Austria	2016	Homo sapiens	Austria/2016/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984347	MF984347	Blood donor 2/Austria/2016 (BD2/16)	Austria	2016	Homo sapiens	Austria/2016/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984348	MF984348	Blood donor 3/Austria/2016 (BD3/16)	Austria	2016	Homo sapiens	Austria/2016/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984349	MF984349	Horse 1/Austria/2016 (Ho1/16)	Austria	2016	Equus caballus	Austria/2016/Equus caballus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984350	MF984350	Horse 2/Austria/2016 (Ho2/16)	Austria	2016	Equus caballus	Austria/2016/Equus caballus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984351	MF984351	Cx. pipiens 1/Austria/2016 (Cx1/16)	Austria	2016	Culex pipiens	Austria/2016/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MF984352	MF984352	Cx. pipiens 2/Austria/2016 (Cx2/16)	Austria	2016	Culex pipiens	Austria/2016/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MH549209	MH549209	-	Greece	2017	Pica pica (Eurasian magpie)	Greece/2017/Pica pica (Eurasian magpie)	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MH910045	MH910045	CHVir-205/2018	Germany	2018	Homo sapiens	Germany/2018/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MH939153	MH939153	DD58c	Romania	2014	Anopheles hyrcanus	Romania/2014/Anopheles hyrcanus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MH939154	MH939154	DD84c	Romania	2014	Culex pipiens s.l.	Romania/2014/Culex pipiens s.l.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MK473443	MK473443	-	Greece	2017	Eurasian magpie (Pica pica)	Greece/2017/Eurasian magpie (Pica pica)	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MK947396	MK947396	Ko169-2018	Slovenia	2018	mosquito	Slovenia/2018/mosquito	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN480792	MN480792	Thessaloniki_354h/2018	Greece	2018	Homo sapiens	Greece/2018/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN480793	MN480793	Pella_435h/2018	Greece	2018	Homo sapiens	Greece/2018/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN480794	MN480794	Thessaloniki_MC139m/2018	Greece	2018	Culex sp.	Greece/2018/Culex sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN480795	MN480795	Pella_677h/2018	Greece	2018	Homo sapiens	Greece/2018/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN481589	MN481589	S33b_GrM_2018/Thessaloniki	Greece	2018	Gallus gallus	Greece/2018/Gallus gallus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN481590	MN481590	S14c_GrM_2018/Thessaloniki	Greece	2018	Equus caballus	Greece/2018/Equus caballus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN481591	MN481591	S38b_GrTh_2018/Rhodope	Greece	2018	dog	Greece/2018/dog	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN481592	MN481592	S33_GrM_2012/Thessaloniki_1	Greece	2012	mosquito	Greece/2012/mosquito	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN481593	MN481593	S34_GrM_2012/Thessaloniki_2	Greece	2012	mosquito	Greece/2012/mosquito	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN481594	MN481594	S35_GrM_2012/Pella	Greece	2012	mosquito	Greece/2012/mosquito	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN481595	MN481595	S36_GrM_2010/Thessaloniki	Greece	2010	Columba livia	Greece/2010/Columba livia	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN481596	MN481596	S37_GrM_2011/Thessaloniki	Greece	2011	Gallus gallus	Greece/2011/Gallus gallus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN481597	MN481597	S38_GrM_2012/Imathia	Greece	2012	Gallus gallus	Greece/2012/Gallus gallus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN619800	MN619800	Volgograd601/18	Russia	2018	Culex modestus	Russia/2018/Culex modestus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN652878	MN652878	Thessaloniki_MC26m/2018	Greece	2018	Culex sp.	Greece/2018/Culex sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN652879	MN652879	Pella_MC36m/2018	Greece	2018	Culex sp.	Greece/2018/Culex sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN652880	MN652880	Thessaloniki_MC82m/2018	Greece	2018	Culex sp.	Greece/2018/Culex sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN812757	MN812757	Volgograd627/18	Russia	2018	Culex modestus	Russia/2018/Culex modestus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN812758	MN812758	Volgograd652/18	Russia	2018	Culex modestus	Russia/2018/Culex modestus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN812760	MN812760	Volgograd594/18	Russia	2018	Homo sapiens	Russia/2018/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN812761	MN812761	Volgograd623/18	Russia	2018	Homo sapiens	Russia/2018/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN812762	MN812762	Volgograd625/18	Russia	2018	Homo sapiens	Russia/2018/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN939557	MN939557	Italy/2018/Rovigo/29.1	Italy	2018	Homo sapiens	Italy/2018/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN939558	MN939558	Italy/2016/Rovigo/32.2	Italy	2016	Homo sapiens	Italy/2016/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN939559	MN939559	Italy/2016/Rovigo/34.1	Italy	2016	Homo sapiens	Italy/2016/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MN939562	MN939562	Italy/2018/Treviso/35.1	Italy	2018	Homo sapiens	Italy/2018/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MT341470	MT341470	Larisa-3m-Greece-2019	Greece	2019	Culex sp.	Greece/2019/Culex sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MT341471	MT341471	Karditsa-13m-Greece-2019	Greece	2019	Culex sp.	Greece/2019/Culex sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MT341472	MT341472	Pleven_10m-Bulgaria-2018	Bulgaria	2018	Culex sp.	Bulgaria/2018/Culex sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MT863560	MT863560	6125/France/2018	France	2018	Buteo buteo	France/2018/Buteo buteo	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MT863561	MT863561	7025/France/2018	France	2018	Accipiter gentilis	France/2018/Accipiter gentilis	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW036633	MW036633	Mosquito_pool_19	Netherlands	2020	Culex	Netherlands/2020/Culex	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW036634	MW036634	Mosquito_pool_25	Netherlands	2020	Culex	Netherlands/2020/Culex	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-refseqs/MW142225	MW142225	LE4/2020/Leipzig/Germany	Germany	2020	Homo sapiens	Germany/2020/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW383507	MW383507	M6646-NA-2020	Namibia	2020	Culex univittatus	Namibia/2020/Culex univittatus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW383508	MW383508	M6848-NA-2020	Namibia	2020	Culex univittatus	Namibia/2020/Culex univittatus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW561633	MW561633	769.B/2018/Kavecany/SVK	Slovakia	2018	Strix nebulosa lapponica	Slovakia/2018/Strix nebulosa lapponica	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751834	MW751834	WNV/SRB/Temerin-6530-1/2018	Serbia	2018	Culex pipiens	Serbia/2018/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751835	MW751835	WNV/SRB/Subotica-8072-1/2018	Serbia	2018	Strigiformes sp.	Serbia/2018/Strigiformes sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751836	MW751836	WNV/SRB/Mali_Idjos-6923-2/2015	Serbia	2015	Culex pipiens	Serbia/2015/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751837	MW751837	WNV/SRB/Curug-5871/2018	Serbia	2018	Falco tinnunculus	Serbia/2018/Falco tinnunculus	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751838	MW751838	WNV/SRB/Belgrade-10800-6/2018	Serbia	2018	Aves	Serbia/2018/Aves	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751839	MW751839	WNV/SRB/Novi_Sad-13086-20/2020	Serbia	2020	Culex pipiens	Serbia/2020/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751840	MW751840	WNV/SRB/Novi_Sad-12308-20/2020	Serbia	2020	Culex pipiens	Serbia/2020/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751841	MW751841	WNV/SRB/Novi_Becej-6919-21/2018	Serbia	2018	Culex pipiens	Serbia/2018/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751842	MW751842	WNV/SRB/Subotica-6530-11/2018	Serbia	2018	Culex pipiens	Serbia/2018/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751843	MW751843	WNV/SRB/Karavukovo-6919-4/2018	Serbia	2018	Culex pipiens	Serbia/2018/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751844	MW751844	WNV/SRB/Sombor-6530-6/2018	Serbia	2018	Culex pipiens	Serbia/2018/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751845	MW751845	WNV/SRB/Opovo-6530-27/2018	Serbia	2018	Culex pipiens	Serbia/2018/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW751846	MW751846	WNV/SRB/Subotica-6530-10/2018	Serbia	2018	Culex pipiens	Serbia/2018/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862073	MW862073	2012.TE.20168	Italy	2012	Accipiter gentilis	Italy/2012/Accipiter gentilis	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862074	MW862074	2013.TE.27449	Italy	2013	Accipiter gentilis	Italy/2013/Accipiter gentilis	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862075	MW862075	2015.TE.21863	Italy	2015	Corvidae sp.	Italy/2015/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862076	MW862076	2015.TE.21864	Italy	2015	Corvidae sp.	Italy/2015/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862077	MW862077	2015.TE.21865	Italy	2015	Corvidae sp.	Italy/2015/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862078	MW862078	2015.TE.21926	Italy	2015	Strigiformes sp.	Italy/2015/Strigiformes sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862079	MW862079	2015.TE.22115	Italy	2015	Culex pipiens	Italy/2015/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862080	MW862080	2015.TE.26275	Italy	2015	Accipiter gentilis	Italy/2015/Accipiter gentilis	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862081	MW862081	2015.TE.22805_1	Italy	2015	Corvidae sp.	Italy/2015/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862082	MW862082	2015.TE.24916	Italy	2015	Corvidae sp.	Italy/2015/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862083	MW862083	2015.TE.30707	Italy	2015	Accipiter gentilis	Italy/2015/Accipiter gentilis	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862084	MW862084	2015.TE.22799_2	Italy	2015	Corvidae sp.	Italy/2015/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862085	MW862085	2015.TE.22799_5	Italy	2015	Corvidae sp.	Italy/2015/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862086	MW862086	2016.TE.28315	Italy	2016	sparrowhawk	Italy/2016/sparrowhawk	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862087	MW862087	2017.TE.25819	Italy	2017	Corvidae sp.	Italy/2017/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862088	MW862088	2017.TE.15851_1	Italy	2017	Corvidae sp.	Italy/2017/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862089	MW862089	2017_TE.16133_1	Italy	2017	Corvidae sp.	Italy/2017/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862090	MW862090	2018.TE.16657	Italy	2018	swift	Italy/2018/swift	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862091	MW862091	2018.TE.16663	Italy	2018	Corvidae sp.	Italy/2018/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862092	MW862092	2018.TE.17978	Italy	2018	swallow	Italy/2018/swallow	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862093	MW862093	2018.TE.19703_B	Italy	2018	Accipiter gentilis	Italy/2018/Accipiter gentilis	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862094	MW862094	2018.TE.17785	Italy	2018	spectacled warbler	Italy/2018/spectacled warbler	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862095	MW862095	2018.TE.21498	Italy	2018	Corvidae sp.	Italy/2018/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862096	MW862096	2018.TE.28355	Italy	2018	Accipiter gentilis	Italy/2018/Accipiter gentilis	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862097	MW862097	2018.TE.19930_B	Italy	2018	Accipiter gentilis	Italy/2018/Accipiter gentilis	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862098	MW862098	2018.TE.23630	Italy	2018	Corvidae sp.	Italy/2018/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862099	MW862099	2018.TE.22745	Italy	2018	Corvidae sp.	Italy/2018/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862100	MW862100	2018.TE.22754	Italy	2018	Corvidae sp.	Italy/2018/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862101	MW862101	2018.TE.19411_B	Italy	2018	Accipiter gentilis	Italy/2018/Accipiter gentilis	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862102	MW862102	2019.TE.17152	Italy	2019	Corvidae sp.	Italy/2019/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862103	MW862103	2019.TE.18367	Italy	2019	Accipiter gentilis	Italy/2019/Accipiter gentilis	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862104	MW862104	2019.TE.20343_B	Italy	2019	Strigiformes sp.	Italy/2019/Strigiformes sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862105	MW862105	2019.TE.20453	Italy	2019	Corvidae sp.	Italy/2019/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862106	MW862106	2019.TE.19790	Italy	2019	Culex pipiens	Italy/2019/Culex pipiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862107	MW862107	2019.TE.16245	Italy	2019	Corvidae sp.	Italy/2019/Corvidae sp.	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/MW862108	MW862108	2020.TE.125531	Italy	2020	Corvidae sp.	Italy/2020/Corvidae sp.	2	-	2/-
